"Step","roberta_full_gnorms_fix - sched/gnorm_l1","roberta_full_gnorms_fix - sched/gnorm_l1__MIN","roberta_full_gnorms_fix - sched/gnorm_l1__MAX"
"157","1818.882436763325","1818.882436763325","1818.882436763325"
"158","1740.0245458250706","1740.0245458250706","1740.0245458250706"
"159","1946.3441203565412","1946.3441203565412","1946.3441203565412"
"160","1686.5996094104892","1686.5996094104892","1686.5996094104892"
"161","1598.1396006823068","1598.1396006823068","1598.1396006823068"
"162","1852.552335559053","1852.552335559053","1852.552335559053"
"163","1602.6952767257458","1602.6952767257458","1602.6952767257458"
"164","1867.9899164129815","1867.9899164129815","1867.9899164129815"
"165","1688.41859192867","1688.41859192867","1688.41859192867"
"166","1864.0033553870635","1864.0033553870635","1864.0033553870635"
"167","1605.8042177032792","1605.8042177032792","1605.8042177032792"
"168","1820.542204886767","1820.542204886767","1820.542204886767"
"169","1740.5790996616004","1740.5790996616004","1740.5790996616004"
"170","1743.3444426021956","1743.3444426021956","1743.3444426021956"
"171","1668.8943756501262","1668.8943756501262","1668.8943756501262"
"172","1645.3769979183871","1645.3769979183871","1645.3769979183871"
"173","1585.6471470736212","1585.6471470736212","1585.6471470736212"
"174","1557.8778008991517","1557.8778008991517","1557.8778008991517"
"175","1609.1152958206255","1609.1152958206255","1609.1152958206255"
"176","1607.3342653233185","1607.3342653233185","1607.3342653233185"
"177","1640.726032391065","1640.726032391065","1640.726032391065"
"178","1597.3436011257809","1597.3436011257809","1597.3436011257809"
"179","1596.8978917585875","1596.8978917585875","1596.8978917585875"
"180","1476.1868368441362","1476.1868368441362","1476.1868368441362"
"181","1490.5154378750658","1490.5154378750658","1490.5154378750658"
"182","1577.3719006045694","1577.3719006045694","1577.3719006045694"
"183","1558.3307022784882","1558.3307022784882","1558.3307022784882"
"184","1632.7466692537378","1632.7466692537378","1632.7466692537378"
"185","1793.820229158455","1793.820229158455","1793.820229158455"
"186","1608.991112362377","1608.991112362377","1608.991112362377"
"187","1818.675493656204","1818.675493656204","1818.675493656204"
"188","1697.5952958898451","1697.5952958898451","1697.5952958898451"
"189","1549.4761751529186","1549.4761751529186","1549.4761751529186"
"190","1992.6497443252424","1992.6497443252424","1992.6497443252424"
"191","1755.4693248515623","1755.4693248515623","1755.4693248515623"
"192","1674.744004765205","1674.744004765205","1674.744004765205"
"193","1811.1677502770065","1811.1677502770065","1811.1677502770065"
"194","1589.011228210855","1589.011228210855","1589.011228210855"
"195","2123.6820127207784","2123.6820127207784","2123.6820127207784"
"196","1636.167341647092","1636.167341647092","1636.167341647092"
"197","1801.4183216612375","1801.4183216612375","1801.4183216612375"
"198","1698.248092758129","1698.248092758129","1698.248092758129"
"199","1822.959164654207","1822.959164654207","1822.959164654207"
"200","1632.5741879744348","1632.5741879744348","1632.5741879744348"
"201","1628.722689704889","1628.722689704889","1628.722689704889"
"202","1713.5805938930166","1713.5805938930166","1713.5805938930166"
"203","1605.2935339785731","1605.2935339785731","1605.2935339785731"
"204","1517.6160034845018","1517.6160034845018","1517.6160034845018"
"205","1405.67256077624","1405.67256077624","1405.67256077624"
"206","1579.901601991078","1579.901601991078","1579.901601991078"
"207","1555.9053689602426","1555.9053689602426","1555.9053689602426"
"208","1684.603199441222","1684.603199441222","1684.603199441222"
"209","1449.563459715351","1449.563459715351","1449.563459715351"
"210","1756.4951639339324","1756.4951639339324","1756.4951639339324"
"211","1405.8402470076426","1405.8402470076426","1405.8402470076426"
"212","1994.6417564200783","1994.6417564200783","1994.6417564200783"
"213","1764.8366656216217","1764.8366656216217","1764.8366656216217"
"214","1912.3531309605353","1912.3531309605353","1912.3531309605353"
"215","1655.2456112933528","1655.2456112933528","1655.2456112933528"
"216","1963.5078827402235","1963.5078827402235","1963.5078827402235"
"217","1353.775198845677","1353.775198845677","1353.775198845677"
"218","1860.0992915945817","1860.0992915945817","1860.0992915945817"
"219","1578.3370301005864","1578.3370301005864","1578.3370301005864"
"220","1836.665502889339","1836.665502889339","1836.665502889339"
"221","1744.0737902684314","1744.0737902684314","1744.0737902684314"
"222","1490.892098892291","1490.892098892291","1490.892098892291"
"223","2064.927202557172","2064.927202557172","2064.927202557172"
"224","1821.242718539375","1821.242718539375","1821.242718539375"
"225","1680.0903818686734","1680.0903818686734","1680.0903818686734"
"226","1694.7700723835678","1694.7700723835678","1694.7700723835678"
"227","1623.9198199869716","1623.9198199869716","1623.9198199869716"
"228","1759.7280948248474","1759.7280948248474","1759.7280948248474"
"229","1920.4532463431528","1920.4532463431528","1920.4532463431528"
"230","1671.1367713190666","1671.1367713190666","1671.1367713190666"
"231","1573.639942195638","1573.639942195638","1573.639942195638"
"232","1582.868450113708","1582.868450113708","1582.868450113708"
"233","1642.233882318832","1642.233882318832","1642.233882318832"
"234","1524.5833948848997","1524.5833948848997","1524.5833948848997"
"235","1731.9280102356402","1731.9280102356402","1731.9280102356402"
"236","1895.8164314536832","1895.8164314536832","1895.8164314536832"
"237","1702.0528439561654","1702.0528439561654","1702.0528439561654"
"238","1473.7196714184388","1473.7196714184388","1473.7196714184388"
"239","1337.554092835809","1337.554092835809","1337.554092835809"
"240","1385.288714354181","1385.288714354181","1385.288714354181"
"241","1407.8829611761478","1407.8829611761478","1407.8829611761478"
"242","1635.3931145723395","1635.3931145723395","1635.3931145723395"
"243","1409.920756356349","1409.920756356349","1409.920756356349"
"244","1425.577084648282","1425.577084648282","1425.577084648282"
"245","1913.9626393025887","1913.9626393025887","1913.9626393025887"
"246","1960.5864671716165","1960.5864671716165","1960.5864671716165"
"247","1698.113351226198","1698.113351226198","1698.113351226198"
"248","1560.329362013362","1560.329362013362","1560.329362013362"
"249","1380.332794247298","1380.332794247298","1380.332794247298"
"250","1338.6730721346487","1338.6730721346487","1338.6730721346487"
"251","1513.9040814006428","1513.9040814006428","1513.9040814006428"
"252","2067.6041020577036","2067.6041020577036","2067.6041020577036"
"253","2831.231470367082","2831.231470367082","2831.231470367082"
"254","3544.376679683675","3544.376679683675","3544.376679683675"
"255","3451.854384826155","3451.854384826155","3451.854384826155"
"256","1840.4465887737024","1840.4465887737024","1840.4465887737024"
"257","2147.5348132572676","2147.5348132572676","2147.5348132572676"
"258","3008.8205554994747","3008.8205554994747","3008.8205554994747"
"259","1903.4706712553025","1903.4706712553025","1903.4706712553025"
"260","1853.2394518297556","1853.2394518297556","1853.2394518297556"
"261","2812.584819994541","2812.584819994541","2812.584819994541"
"262","2029.464764873031","2029.464764873031","2029.464764873031"
"263","1827.2369836463456","1827.2369836463456","1827.2369836463456"
"264","2951.5427573687452","2951.5427573687452","2951.5427573687452"
"265","2217.813345255742","2217.813345255742","2217.813345255742"
"266","1639.4055251285647","1639.4055251285647","1639.4055251285647"
"267","2437.756620971156","2437.756620971156","2437.756620971156"
"268","1876.93191019214","1876.93191019214","1876.93191019214"
"269","1746.662496693958","1746.662496693958","1746.662496693958"
"270","2533.9187705962145","2533.9187705962145","2533.9187705962145"
"271","1748.1251374697492","1748.1251374697492","1748.1251374697492"
"272","1937.47955148063","1937.47955148063","1937.47955148063"
"273","2671.63218843165","2671.63218843165","2671.63218843165"
"274","1903.494625676195","1903.494625676195","1903.494625676195"
"275","1875.2033783216164","1875.2033783216164","1875.2033783216164"
"276","2293.0455703228185","2293.0455703228185","2293.0455703228185"
"277","1770.9617858550089","1770.9617858550089","1770.9617858550089"
"278","1539.806037556433","1539.806037556433","1539.806037556433"
"279","1879.0565501414544","1879.0565501414544","1879.0565501414544"
"280","1466.490450873914","1466.490450873914","1466.490450873914"
"281","1954.8372783584457","1954.8372783584457","1954.8372783584457"
"282","2362.927795308758","2362.927795308758","2362.927795308758"
"283","2047.3365207236504","2047.3365207236504","2047.3365207236504"
"284","1560.952898354779","1560.952898354779","1560.952898354779"
"285","2652.3795803000107","2652.3795803000107","2652.3795803000107"
"286","2791.4015766083253","2791.4015766083253","2791.4015766083253"
"287","2375.745667422812","2375.745667422812","2375.745667422812"
"288","1880.144207524904","1880.144207524904","1880.144207524904"
"289","2732.798806745474","2732.798806745474","2732.798806745474"
"290","2897.457371749441","2897.457371749441","2897.457371749441"
"291","1892.05410409236","1892.05410409236","1892.05410409236"
"292","2096.89538347566","2096.89538347566","2096.89538347566"
"293","2340.087668456519","2340.087668456519","2340.087668456519"
"294","1677.4071461019942","1677.4071461019942","1677.4071461019942"
"295","2115.7190371708925","2115.7190371708925","2115.7190371708925"
"296","2103.110415519217","2103.110415519217","2103.110415519217"
"297","1639.3689921862012","1639.3689921862012","1639.3689921862012"
"298","2057.9526478364187","2057.9526478364187","2057.9526478364187"
"299","1754.0487532387788","1754.0487532387788","1754.0487532387788"
"300","2420.0430790356577","2420.0430790356577","2420.0430790356577"
"301","3000.0331919645605","3000.0331919645605","3000.0331919645605"
"302","2542.861364130566","2542.861364130566","2542.861364130566"
"303","2161.5280448309177","2161.5280448309177","2161.5280448309177"
"304","1844.1376764077395","1844.1376764077395","1844.1376764077395"
"305","2047.392803094003","2047.392803094003","2047.392803094003"
"306","2461.1015753868473","2461.1015753868473","2461.1015753868473"
"307","1965.217512284128","1965.217512284128","1965.217512284128"
"308","1574.3255386299716","1574.3255386299716","1574.3255386299716"
"309","2519.4796685540427","2519.4796685540427","2519.4796685540427"
"310","2823.969239522029","2823.969239522029","2823.969239522029"
"311","2490.2712650770736","2490.2712650770736","2490.2712650770736"
"312","1898.1327177650232","1898.1327177650232","1898.1327177650232"
"313","1532.2637801018436","1532.2637801018436","1532.2637801018436"
"314","1905.510721666496","1905.510721666496","1905.510721666496"
"315","2249.155690330478","2249.155690330478","2249.155690330478"
"316","2508.4019175021263","2508.4019175021263","2508.4019175021263"
"317","2120.951294735444","2120.951294735444","2120.951294735444"
"318","2361.965769904963","2361.965769904963","2361.965769904963"
"319","2451.710268943566","2451.710268943566","2451.710268943566"
"320","2329.379984955713","2329.379984955713","2329.379984955713"
"321","1992.9874984622877","1992.9874984622877","1992.9874984622877"
"322","1547.2836866350326","1547.2836866350326","1547.2836866350326"
"323","1762.1390453173044","1762.1390453173044","1762.1390453173044"
"324","2223.57293185131","2223.57293185131","2223.57293185131"
"325","2331.1387756596905","2331.1387756596905","2331.1387756596905"
"326","2229.874382336572","2229.874382336572","2229.874382336572"
"327","3099.812080383429","3099.812080383429","3099.812080383429"
"328","3984.691567780581","3984.691567780581","3984.691567780581"
"329","4216.227555305169","4216.227555305169","4216.227555305169"
"330","3573.648307910309","3573.648307910309","3573.648307910309"
"331","2115.8486337447584","2115.8486337447584","2115.8486337447584"
"332","1859.684341033651","1859.684341033651","1859.684341033651"
"333","2657.4056549232096","2657.4056549232096","2657.4056549232096"
"334","2622.7034179359","2622.7034179359","2622.7034179359"
"335","2079.331669262829","2079.331669262829","2079.331669262829"
"336","1687.225480082787","1687.225480082787","1687.225480082787"
"337","1394.3594746692809","1394.3594746692809","1394.3594746692809"
"338","1914.441695650439","1914.441695650439","1914.441695650439"
"339","1629.1975694704563","1629.1975694704563","1629.1975694704563"
"340","1879.0443237032343","1879.0443237032343","1879.0443237032343"
"341","2263.521473525217","2263.521473525217","2263.521473525217"
"342","2100.072865333713","2100.072865333713","2100.072865333713"
"343","1950.719652812233","1950.719652812233","1950.719652812233"
"344","2075.638917382844","2075.638917382844","2075.638917382844"
"345","1503.048900657465","1503.048900657465","1503.048900657465"
"346","2725.8858501983837","2725.8858501983837","2725.8858501983837"
"347","3572.854500449957","3572.854500449957","3572.854500449957"
"348","4901.8198423509475","4901.8198423509475","4901.8198423509475"
"349","7239.634060288554","7239.634060288554","7239.634060288554"
"350","7302.875693610332","7302.875693610332","7302.875693610332"
"351","4477.162729074552","4477.162729074552","4477.162729074552"
"352","3125.201569577402","3125.201569577402","3125.201569577402"
"353","4997.9358712672065","4997.9358712672065","4997.9358712672065"
"354","2231.2362077137923","2231.2362077137923","2231.2362077137923"
"355","4472.2267653787385","4472.2267653787385","4472.2267653787385"
"356","3740.28413919724","3740.28413919724","3740.28413919724"
"357","2357.893296358805","2357.893296358805","2357.893296358805"
"358","3223.9486791029913","3223.9486791029913","3223.9486791029913"
"359","2011.32640899518","2011.32640899518","2011.32640899518"
"360","3074.240334303244","3074.240334303244","3074.240334303244"
"361","2776.68038003186","2776.68038003186","2776.68038003186"
"362","1750.5026561017326","1750.5026561017326","1750.5026561017326"
"363","2982.753354985743","2982.753354985743","2982.753354985743"
"364","1820.979532164832","1820.979532164832","1820.979532164832"
"365","2307.3540196797912","2307.3540196797912","2307.3540196797912"
"366","2633.788863064447","2633.788863064447","2633.788863064447"
"367","1912.715578628505","1912.715578628505","1912.715578628505"
"368","2046.1861485440556","2046.1861485440556","2046.1861485440556"
"369","2918.571904015967","2918.571904015967","2918.571904015967"
"370","1834.8664704216176","1834.8664704216176","1834.8664704216176"
"371","1594.030606639251","1594.030606639251","1594.030606639251"
"372","1963.3927662802903","1963.3927662802903","1963.3927662802903"
"373","1639.4959648363956","1639.4959648363956","1639.4959648363956"
"374","1468.9239007426374","1468.9239007426374","1468.9239007426374"
"375","1979.4223195963707","1979.4223195963707","1979.4223195963707"
"376","1698.528570390088","1698.528570390088","1698.528570390088"
"377","1446.07816650448","1446.07816650448","1446.07816650448"
"378","1838.7263726571637","1838.7263726571637","1838.7263726571637"
"379","2437.10734005167","2437.10734005167","2437.10734005167"
"380","2508.253371094618","2508.253371094618","2508.253371094618"
"381","1496.8517516325471","1496.8517516325471","1496.8517516325471"
"382","1657.2339615340202","1657.2339615340202","1657.2339615340202"
"383","2471.156160425279","2471.156160425279","2471.156160425279"
"384","2923.8799155996594","2923.8799155996594","2923.8799155996594"
"385","3087.158206246705","3087.158206246705","3087.158206246705"
"386","3018.8866083374733","3018.8866083374733","3018.8866083374733"
"387","2315.1110415787452","2315.1110415787452","2315.1110415787452"
"388","1856.0356433529712","1856.0356433529712","1856.0356433529712"
"389","2820.195598053514","2820.195598053514","2820.195598053514"
"390","2075.0882950661817","2075.0882950661817","2075.0882950661817"
"391","1740.6905483015655","1740.6905483015655","1740.6905483015655"
"392","2512.7289386179636","2512.7289386179636","2512.7289386179636"
"393","2261.633184635075","2261.633184635075","2261.633184635075"
"394","1829.070520980525","1829.070520980525","1829.070520980525"
"395","2691.7482319544342","2691.7482319544342","2691.7482319544342"
"396","2363.248320220451","2363.248320220451","2363.248320220451"
"397","2467.0892997628544","2467.0892997628544","2467.0892997628544"
"398","1839.667629954018","1839.667629954018","1839.667629954018"
"399","1705.338396430137","1705.338396430137","1705.338396430137"
"400","1983.4124317110536","1983.4124317110536","1983.4124317110536"
"401","2461.485210330044","2461.485210330044","2461.485210330044"
"402","1535.9211685821638","1535.9211685821638","1535.9211685821638"
"403","2073.602360656093","2073.602360656093","2073.602360656093"
"404","2444.235664886336","2444.235664886336","2444.235664886336"
"405","4541.002826325003","4541.002826325003","4541.002826325003"
"406","10661.265633081908","10661.265633081908","10661.265633081908"
"407","12619.042380194733","12619.042380194733","12619.042380194733"
"408","3797.571897959868","3797.571897959868","3797.571897959868"
"409","11173.13510461542","11173.13510461542","11173.13510461542"
"410","3953.477224089071","3953.477224089071","3953.477224089071"
"411","7847.14491010257","7847.14491010257","7847.14491010257"
"412","4065.3540294702766","4065.3540294702766","4065.3540294702766"
"413","4836.222132887032","4836.222132887032","4836.222132887032"
"414","5063.304117718918","5063.304117718918","5063.304117718918"
"415","2450.266841230626","2450.266841230626","2450.266841230626"
"416","4364.966031859909","4364.966031859909","4364.966031859909"
"417","3782.317510285759","3782.317510285759","3782.317510285759"
"418","2702.733464128249","2702.733464128249","2702.733464128249"
"419","3855.8616792188545","3855.8616792188545","3855.8616792188545"
"420","2874.2163956399504","2874.2163956399504","2874.2163956399504"
"421","2458.960311792363","2458.960311792363","2458.960311792363"
"422","3223.900328459497","3223.900328459497","3223.900328459497"
"423","1950.3019234148956","1950.3019234148956","1950.3019234148956"
"424","2390.698035753561","2390.698035753561","2390.698035753561"
"425","2634.8361367143984","2634.8361367143984","2634.8361367143984"
"426","1704.9484196636868","1704.9484196636868","1704.9484196636868"
"427","2046.7989903918792","2046.7989903918792","2046.7989903918792"
"428","2359.052707343033","2359.052707343033","2359.052707343033"
"429","1702.962488963428","1702.962488963428","1702.962488963428"
"430","1775.9077733484255","1775.9077733484255","1775.9077733484255"
"431","2183.1078080695206","2183.1078080695206","2183.1078080695206"
"432","1614.1045144012153","1614.1045144012153","1614.1045144012153"
"433","1718.612954883923","1718.612954883923","1718.612954883923"
"434","1666.3940308367617","1666.3940308367617","1666.3940308367617"
"435","1705.208674744124","1705.208674744124","1705.208674744124"
"436","1608.579150344099","1608.579150344099","1608.579150344099"
"437","1761.8335747324163","1761.8335747324163","1761.8335747324163"
"438","1615.2588292123314","1615.2588292123314","1615.2588292123314"
"439","1648.2672434260503","1648.2672434260503","1648.2672434260503"
"440","1762.83906333045","1762.83906333045","1762.83906333045"
"441","1491.7952778436131","1491.7952778436131","1491.7952778436131"
"442","1391.7225547627916","1391.7225547627916","1391.7225547627916"
"443","1732.060216613372","1732.060216613372","1732.060216613372"
"444","1427.2569032801496","1427.2569032801496","1427.2569032801496"
"445","1573.5793510753588","1573.5793510753588","1573.5793510753588"
"446","1603.0615981267038","1603.0615981267038","1603.0615981267038"
"447","1498.18728366519","1498.18728366519","1498.18728366519"
"448","1514.7730941978812","1514.7730941978812","1514.7730941978812"
"449","1114.6267224881196","1114.6267224881196","1114.6267224881196"
"450","1900.809364247963","1900.809364247963","1900.809364247963"
"451","1752.2763543535805","1752.2763543535805","1752.2763543535805"
"452","1444.9778738900932","1444.9778738900932","1444.9778738900932"
"453","1313.640607312076","1313.640607312076","1313.640607312076"
"454","1880.680235387044","1880.680235387044","1880.680235387044"
"455","1555.1041785762343","1555.1041785762343","1555.1041785762343"
"456","2012.128728572046","2012.128728572046","2012.128728572046"
"457","3142.2113707137496","3142.2113707137496","3142.2113707137496"
"458","3526.1737061150498","3526.1737061150498","3526.1737061150498"
"459","3712.5452542344497","3712.5452542344497","3712.5452542344497"
"460","2295.595834374715","2295.595834374715","2295.595834374715"
"461","1824.7490346682575","1824.7490346682575","1824.7490346682575"
"462","2638.486259012509","2638.486259012509","2638.486259012509"
"463","2100.1972629425354","2100.1972629425354","2100.1972629425354"
"464","1909.718627089601","1909.718627089601","1909.718627089601"
"465","2296.1706833661033","2296.1706833661033","2296.1706833661033"
"466","2575.577228122206","2575.577228122206","2575.577228122206"
"467","2122.74991414527","2122.74991414527","2122.74991414527"
"468","2305.8510468595805","2305.8510468595805","2305.8510468595805"
