"Step","vit_full_gnorms_fix - sched/gnorm_l1","vit_full_gnorms_fix - sched/gnorm_l1__MIN","vit_full_gnorms_fix - sched/gnorm_l1__MAX"
"0","515.2588168689981","515.2588168689981","515.2588168689981"
"1","541.4783278529067","541.4783278529067","541.4783278529067"
"2","509.79548726812936","509.79548726812936","509.79548726812936"
"3","497.8929673298262","497.8929673298262","497.8929673298262"
"4","498.34133103420027","498.34133103420027","498.34133103420027"
"5","496.7170146519784","496.7170146519784","496.7170146519784"
"6","476.6790090382565","476.6790090382565","476.6790090382565"
"7","457.121320290491","457.121320290491","457.121320290491"
"8","439.63449292466976","439.63449292466976","439.63449292466976"
"9","427.24901785096154","427.24901785096154","427.24901785096154"
"10","401.6731797766406","401.6731797766406","401.6731797766406"
"11","390.2469250196591","390.2469250196591","390.2469250196591"
"12","366.5640453032683","366.5640453032683","366.5640453032683"
"13","347.9994646185078","347.9994646185078","347.9994646185078"
"14","329.16966072120704","329.16966072120704","329.16966072120704"
"15","310.2138930563815","310.2138930563815","310.2138930563815"
"16","289.97635930916294","289.97635930916294","289.97635930916294"
"17","269.095589832752","269.095589832752","269.095589832752"
"18","254.94076953851615","254.94076953851615","254.94076953851615"
"19","237.42485815112013","237.42485815112013","237.42485815112013"
"20","224.5542027784977","224.5542027784977","224.5542027784977"
"21","213.87537962105125","213.87537962105125","213.87537962105125"
"22","204.6576970492024","204.6576970492024","204.6576970492024"
"23","194.92818687146064","194.92818687146064","194.92818687146064"
"24","181.16353267384693","181.16353267384693","181.16353267384693"
"25","174.74915016203886","174.74915016203886","174.74915016203886"
"26","162.20785765140317","162.20785765140317","162.20785765140317"
"27","155.52833378966898","155.52833378966898","155.52833378966898"
"28","152.12908145663096","152.12908145663096","152.12908145663096"
"29","145.12860056111822","145.12860056111822","145.12860056111822"
"30","141.73680194281042","141.73680194281042","141.73680194281042"
"31","138.22917153517483","138.22917153517483","138.22917153517483"
"32","133.1506150313653","133.1506150313653","133.1506150313653"
"33","127.11769229901256","127.11769229901256","127.11769229901256"
"34","128.68910580227384","128.68910580227384","128.68910580227384"
"35","119.47178067555068","119.47178067555068","119.47178067555068"
"36","117.6990456720814","117.6990456720814","117.6990456720814"
"37","115.31531350951992","115.31531350951992","115.31531350951992"
"38","111.70623101564706","111.70623101564706","111.70623101564706"
"39","113.55828598543305","113.55828598543305","113.55828598543305"
"40","108.80425273571744","108.80425273571744","108.80425273571744"
"41","106.73487947994728","106.73487947994728","106.73487947994728"
"42","105.54719519478384","105.54719519478384","105.54719519478384"
"43","105.10097830856104","105.10097830856104","105.10097830856104"
"44","101.96225433208748","101.96225433208748","101.96225433208748"
"45","100.40280859108316","100.40280859108316","100.40280859108316"
"46","99.11222884940798","99.11222884940798","99.11222884940798"
"47","97.22772716503825","97.22772716503825","97.22772716503825"
"48","96.08298404987728","96.08298404987728","96.08298404987728"
"49","93.817514342707","93.817514342707","93.817514342707"
"50","92.72164879653428","92.72164879653428","92.72164879653428"
"51","91.73643555451416","91.73643555451416","91.73643555451416"
"52","90.85356572802992","90.85356572802992","90.85356572802992"
"53","89.73022286848573","89.73022286848573","89.73022286848573"
"54","89.34178380896628","89.34178380896628","89.34178380896628"
"55","88.77360202994896","88.77360202994896","88.77360202994896"
"56","88.51467709382996","88.51467709382996","88.51467709382996"
"57","87.63737250572012","87.63737250572012","87.63737250572012"
"58","87.05418070722953","87.05418070722953","87.05418070722953"
"59","86.47951064501831","86.47951064501831","86.47951064501831"
