"Step","coco_sched_baselines_fix2 - gnorm","coco_sched_baselines_fix2 - gnorm__MIN","coco_sched_baselines_fix2 - gnorm__MAX"
"0","1.9721450549245312","1.9721450549245312","1.9721450549245312"
"1","2.260469650034026","2.260469650034026","2.260469650034026"
"2","2.0512920229021763","2.0512920229021763","2.0512920229021763"
"3","2.1127700145045276","2.1127700145045276","2.1127700145045276"
"4","2.0000087071122477","2.0000087071122477","2.0000087071122477"
"5","2.09824299029701","2.09824299029701","2.09824299029701"
"6","2.4448724182688624","2.4448724182688624","2.4448724182688624"
"7","2.4804314938106846","2.4804314938106846","2.4804314938106846"
"8","1.7435934780081703","1.7435934780081703","1.7435934780081703"
"9","2.0650732952815343","2.0650732952815343","2.0650732952815343"
"10","1.8914988884356356","1.8914988884356356","1.8914988884356356"
"11","2.127078967664461","2.127078967664461","2.127078967664461"
"12","2.1212445168073337","2.1212445168073337","2.1212445168073337"
"13","2.2861386435229956","2.2861386435229956","2.2861386435229956"
"14","2.1402240760004396","2.1402240760004396","2.1402240760004396"
"15","2.4072913732575807","2.4072913732575807","2.4072913732575807"
"16","2.2300561132862406","2.2300561132862406","2.2300561132862406"
"17","1.823771590204447","1.823771590204447","1.823771590204447"
"18","2.3268507637086793","2.3268507637086793","2.3268507637086793"
"19","1.9696078310708771","1.9696078310708771","1.9696078310708771"
"20","1.6651493075522408","1.6651493075522408","1.6651493075522408"
"21","2.0743039420731737","2.0743039420731737","2.0743039420731737"
"22","1.9357319163752904","1.9357319163752904","1.9357319163752904"
"23","1.8460729650041927","1.8460729650041927","1.8460729650041927"
"24","2.094181549886993","2.094181549886993","2.094181549886993"
"25","1.861479512767909","1.861479512767909","1.861479512767909"
"26","2.27255739205618","2.27255739205618","2.27255739205618"
"27","2.129027635145458","2.129027635145458","2.129027635145458"
"28","1.9723582915452724","1.9723582915452724","1.9723582915452724"
"29","1.8560650004809292","1.8560650004809292","1.8560650004809292"
"30","2.131964867511026","2.131964867511026","2.131964867511026"
"31","2.61558291751338","2.61558291751338","2.61558291751338"
"32","1.801698333035236","1.801698333035236","1.801698333035236"
"33","2.200067709347581","2.200067709347581","2.200067709347581"
"34","2.3293397119123886","2.3293397119123886","2.3293397119123886"
"35","2.922377910091143","2.922377910091143","2.922377910091143"
