"Step","base_configs - grad_norm","base_configs - grad_norm__MIN","base_configs - grad_norm__MAX"
"1","105.8090847114384","105.8090847114384","105.8090847114384"
"11","0.783247075947674","0.783247075947674","0.783247075947674"
"21","0.41670899018631297","0.41670899018631297","0.41670899018631297"
"31","0.24411613308111088","0.24411613308111088","0.24411613308111088"
"41","0.20035804323427303","0.20035804323427303","0.20035804323427303"
"51","0.4369419154965043","0.4369419154965043","0.4369419154965043"
"61","0.1381318530232011","0.1381318530232011","0.1381318530232011"
"71","0.2549841053055339","0.2549841053055339","0.2549841053055339"
"81","0.25317131576760205","0.25317131576760205","0.25317131576760205"
"91","0.1612351233541389","0.1612351233541389","0.1612351233541389"
"101","0.2492282919240155","0.2492282919240155","0.2492282919240155"
"111","0.2106045116490375","0.2106045116490375","0.2106045116490375"
"121","0.13197322691224364","0.13197322691224364","0.13197322691224364"
"131","0.18187316117464375","0.18187316117464375","0.18187316117464375"
"141","0.10773113318486684","0.10773113318486684","0.10773113318486684"
"151","0.24676266436817224","0.24676266436817224","0.24676266436817224"
"161","0.1945723386113996","0.1945723386113996","0.1945723386113996"
"171","0.1495954102469986","0.1495954102469986","0.1495954102469986"
"181","0.13874283569669368","0.13874283569669368","0.13874283569669368"
"191","0.15100812293604318","0.15100812293604318","0.15100812293604318"
"201","0.186856832539222","0.186856832539222","0.186856832539222"
"211","0.14628539838642116","0.14628539838642116","0.14628539838642116"
"221","0.19959995317373103","0.19959995317373103","0.19959995317373103"
"231","0.18823928014101063","0.18823928014101063","0.18823928014101063"
"241","0.16835048533914912","0.16835048533914912","0.16835048533914912"
"251","0.1883599342250754","0.1883599342250754","0.1883599342250754"
"261","0.15242260904785038","0.15242260904785038","0.15242260904785038"
"271","0.16556084706753685","0.16556084706753685","0.16556084706753685"
"281","0.14817370602391802","0.14817370602391802","0.14817370602391802"
"291","0.18818222097241097","0.18818222097241097","0.18818222097241097"
"297","0.19367014824169343","0.19367014824169343","0.19367014824169343"
"307","0.17556916719346943","0.17556916719346943","0.17556916719346943"
"317","0.1130082892711228","0.1130082892711228","0.1130082892711228"
"327","0.21486375029395577","0.21486375029395577","0.21486375029395577"
"337","0.1843534732926458","0.1843534732926458","0.1843534732926458"
"347","0.13829971199166802","0.13829971199166802","0.13829971199166802"
"357","0.14117251749266044","0.14117251749266044","0.14117251749266044"
"367","0.2089778608092684","0.2089778608092684","0.2089778608092684"
"377","0.14516246752502787","0.14516246752502787","0.14516246752502787"
"387","0.3372585390253882","0.3372585390253882","0.3372585390253882"
"397","0.32778340514652876","0.32778340514652876","0.32778340514652876"
"407","0.16653956944132373","0.16653956944132373","0.16653956944132373"
"417","0.18935987044967323","0.18935987044967323","0.18935987044967323"
"427","0.12921199406159162","0.12921199406159162","0.12921199406159162"
"437","0.15950690403362597","0.15950690403362597","0.15950690403362597"
"447","0.12595964696245004","0.12595964696245004","0.12595964696245004"
"457","0.16881511162214455","0.16881511162214455","0.16881511162214455"
"467","0.1294635919406038","0.1294635919406038","0.1294635919406038"
"477","0.1715968825218354","0.1715968825218354","0.1715968825218354"
"487","0.11708658872657604","0.11708658872657604","0.11708658872657604"
"497","0.16880842142463734","0.16880842142463734","0.16880842142463734"
"507","0.14898961779320932","0.14898961779320932","0.14898961779320932"
"517","0.21418597856368657","0.21418597856368657","0.21418597856368657"
"527","0.2651063794956709","0.2651063794956709","0.2651063794956709"
"537","0.13486594225317933","0.13486594225317933","0.13486594225317933"
"547","0.19319583202187865","0.19319583202187865","0.19319583202187865"
"557","0.11961592537642532","0.11961592537642532","0.11961592537642532"
"567","0.1369081496398441","0.1369081496398441","0.1369081496398441"
"577","0.12853728681802531","0.12853728681802531","0.12853728681802531"
"587","0.13444689505171187","0.13444689505171187","0.13444689505171187"
"593","0.19022441957844935","0.19022441957844935","0.19022441957844935"
"603","0.1269043309332138","0.1269043309332138","0.1269043309332138"
"613","0.16745890548325598","0.16745890548325598","0.16745890548325598"
