"Step","baseline_iwslt14 - train_inner/gnorm","baseline_iwslt14 - train_inner/gnorm__MIN","baseline_iwslt14 - train_inner/gnorm__MAX"
"18500","0.331","0.331","0.331"
"18600","0.305","0.305","0.305"
"18700","0.293","0.293","0.293"
"18800","0.287","0.287","0.287"
"18900","0.291","0.291","0.291"
"19000","0.311","0.311","0.311"
"19100","0.289","0.289","0.289"
"19200","0.298","0.298","0.298"
"19300","0.312","0.312","0.312"
"19400","0.294","0.294","0.294"
"19500","0.301","0.301","0.301"
"19600","0.299","0.299","0.299"
"19700","0.337","0.337","0.337"
"19800","0.419","0.419","0.419"
"19900","0.307","0.307","0.307"
"20000","0.304","0.304","0.304"
"20100","0.293","0.293","0.293"
"20200","0.31","0.31","0.31"
"20300","0.32","0.32","0.32"
"20400","0.313","0.313","0.313"
"20500","0.315","0.315","0.315"
"20600","0.291","0.291","0.291"
"20700","0.3","0.3","0.3"
"20800","0.335","0.335","0.335"
"20900","0.291","0.291","0.291"
"21000","0.314","0.314","0.314"
"21100","0.31","0.31","0.31"
"21200","0.307","0.307","0.307"
"21300","0.334","0.334","0.334"
"21400","0.309","0.309","0.309"
"21500","0.304","0.304","0.304"
"21600","0.301","0.301","0.301"
"21700","0.321","0.321","0.321"
"21800","0.306","0.306","0.306"
"21900","0.305","0.305","0.305"
"22000","0.298","0.298","0.298"
"22100","0.317","0.317","0.317"
"22200","0.305","0.305","0.305"
"22300","0.31","0.31","0.31"
"22400","0.297","0.297","0.297"
"22500","0.296","0.296","0.296"
"22600","0.329","0.329","0.329"
"22700","0.319","0.319","0.319"
"22800","0.308","0.308","0.308"
"22900","0.317","0.317","0.317"
"23000","0.309","0.309","0.309"
"23100","0.311","0.311","0.311"
"23200","0.313","0.313","0.313"
"23300","0.304","0.304","0.304"
"23400","0.311","0.311","0.311"
"23500","0.324","0.324","0.324"
"23600","0.306","0.306","0.306"
"23700","0.323","0.323","0.323"
"23800","0.301","0.301","0.301"
"23900","0.316","0.316","0.316"
"24000","0.3","0.3","0.3"
"24100","0.306","0.306","0.306"
"24200","0.305","0.305","0.305"
"24300","0.316","0.316","0.316"
"24400","0.3","0.3","0.3"
"24500","0.303","0.303","0.303"
"24600","0.315","0.315","0.315"
"24700","0.298","0.298","0.298"
"24800","0.321","0.321","0.321"
"24900","0.312","0.312","0.312"
"25000","0.311","0.311","0.311"
"25100","0.333","0.333","0.333"
"25200","0.307","0.307","0.307"
"25300","0.321","0.321","0.321"
"25400","0.314","0.314","0.314"
"25500","0.289","0.289","0.289"
"25600","0.314","0.314","0.314"
"25700","0.308","0.308","0.308"
"25800","0.335","0.335","0.335"
"25900","0.313","0.313","0.313"
"26000","0.329","0.329","0.329"
"26100","0.309","0.309","0.309"
"26200","0.34","0.34","0.34"
"26300","0.307","0.307","0.307"
"26400","0.316","0.316","0.316"
"26500","0.308","0.308","0.308"
"26600","0.325","0.325","0.325"
"26700","0.309","0.309","0.309"
"26800","0.32","0.32","0.32"
"26900","0.311","0.311","0.311"
"27000","0.325","0.325","0.325"
"27100","0.301","0.301","0.301"
"27200","0.323","0.323","0.323"
"27300","0.335","0.335","0.335"
"27400","0.307","0.307","0.307"
"27500","0.317","0.317","0.317"
"27600","0.302","0.302","0.302"
"27700","0.32","0.32","0.32"
"27800","0.309","0.309","0.309"
"27900","0.326","0.326","0.326"
"28000","0.304","0.304","0.304"
"28100","0.315","0.315","0.315"
"28200","0.379","0.379","0.379"
"28300","0.31","0.31","0.31"
"28400","0.317","0.317","0.317"
"28500","0.315","0.315","0.315"
"28600","0.33","0.33","0.33"
"28700","0.297","0.297","0.297"
"28800","0.336","0.336","0.336"
"28900","0.317","0.317","0.317"
"29000","0.316","0.316","0.316"
"29100","0.341","0.341","0.341"
"29200","0.32","0.32","0.32"
"29300","0.303","0.303","0.303"
"29400","0.326","0.326","0.326"
"29500","0.32","0.32","0.32"
"29600","0.317","0.317","0.317"
"29700","0.318","0.318","0.318"
"29800","0.329","0.329","0.329"
"29900","0.308","0.308","0.308"
"30000","0.338","0.338","0.338"
"30100","0.323","0.323","0.323"
"30200","0.358","0.358","0.358"
"30300","0.308","0.308","0.308"
"30400","0.323","0.323","0.323"
"30500","0.324","0.324","0.324"
"30600","0.328","0.328","0.328"
"30700","0.32","0.32","0.32"
"30800","0.339","0.339","0.339"
"30900","0.304","0.304","0.304"
"31000","0.306","0.306","0.306"
"31100","0.333","0.333","0.333"
"31200","0.345","0.345","0.345"
"31300","0.342","0.342","0.342"
"31400","0.326","0.326","0.326"
"31500","0.314","0.314","0.314"
"31600","0.342","0.342","0.342"
"31700","0.324","0.324","0.324"
"31800","0.323","0.323","0.323"
"31900","0.329","0.329","0.329"
"32000","0.317","0.317","0.317"
"32100","0.311","0.311","0.311"
"32200","0.324","0.324","0.324"
"32300","0.356","0.356","0.356"
"32400","0.326","0.326","0.326"
"32500","0.31","0.31","0.31"
"32600","0.348","0.348","0.348"
"32700","0.337","0.337","0.337"
"32800","0.35","0.35","0.35"
"32900","0.325","0.325","0.325"
"33000","0.33","0.33","0.33"
"33100","0.316","0.316","0.316"
"33200","0.321","0.321","0.321"
"33300","0.311","0.311","0.311"
"33400","0.322","0.322","0.322"
"33500","0.335","0.335","0.335"
"33600","0.328","0.328","0.328"
"33700","0.328","0.328","0.328"
"33800","0.317","0.317","0.317"
"33900","0.331","0.331","0.331"
"34000","0.33","0.33","0.33"
"34100","0.34","0.34","0.34"
"34200","0.338","0.338","0.338"
"34300","0.305","0.305","0.305"
"34400","0.348","0.348","0.348"
"34500","0.314","0.314","0.314"
"34600","0.328","0.328","0.328"
"34700","0.333","0.333","0.333"
"34800","0.341","0.341","0.341"
"34900","0.329","0.329","0.329"
"35000","0.331","0.331","0.331"
"35100","0.325","0.325","0.325"
"35200","0.331","0.331","0.331"
"35300","0.3","0.3","0.3"
"35400","0.329","0.329","0.329"
"35500","0.337","0.337","0.337"
"35600","0.326","0.326","0.326"
"35700","0.318","0.318","0.318"
"35800","0.373","0.373","0.373"
"35900","0.326","0.326","0.326"
"36000","0.329","0.329","0.329"
"36100","0.349","0.349","0.349"
"36200","0.337","0.337","0.337"
"36300","0.318","0.318","0.318"
"36400","0.324","0.324","0.324"
"36500","0.331","0.331","0.331"
"36600","0.34","0.34","0.34"
"36700","0.32","0.32","0.32"
"36800","0.329","0.329","0.329"
"36900","0.335","0.335","0.335"
"37000","0.351","0.351","0.351"
"37100","0.341","0.341","0.341"
"37200","0.333","0.333","0.333"
"37300","0.365","0.365","0.365"
"37400","0.317","0.317","0.317"
"37500","0.316","0.316","0.316"
"37600","0.321","0.321","0.321"
"37700","0.327","0.327","0.327"
"37800","0.341","0.341","0.341"
"37900","0.357","0.357","0.357"
"38000","0.324","0.324","0.324"
"38100","0.328","0.328","0.328"
"38200","0.333","0.333","0.333"
"38300","0.368","0.368","0.368"
"38400","0.321","0.321","0.321"
"38500","0.328","0.328","0.328"
"38600","0.336","0.336","0.336"
"38700","0.336","0.336","0.336"
"38800","0.336","0.336","0.336"
"38900","0.324","0.324","0.324"
"39000","0.339","0.339","0.339"
"39100","0.348","0.348","0.348"
"39200","0.336","0.336","0.336"
"39300","0.366","0.366","0.366"
"39400","0.322","0.322","0.322"
"39500","0.335","0.335","0.335"
"39600","0.366","0.366","0.366"
"39700","0.326","0.326","0.326"
"39800","0.327","0.327","0.327"
"39900","0.339","0.339","0.339"
"40000","0.323","0.323","0.323"
"40100","0.338","0.338","0.338"
"40200","0.343","0.343","0.343"
"40300","0.336","0.336","0.336"
"40400","0.334","0.334","0.334"
"40500","0.332","0.332","0.332"
"40600","0.354","0.354","0.354"
"40700","0.334","0.334","0.334"
