"Step","coco_gnorm - gnorm","coco_gnorm - gnorm__MIN","coco_gnorm - gnorm__MAX"
"0","6.450492229678777","6.450492229678777","6.450492229678777"
"1","4.840239806953394","4.840239806953394","4.840239806953394"
"2","2.139296378302378","2.139296378302378","2.139296378302378"
"3","1.5936785942494018","1.5936785942494018","1.5936785942494018"
"4","2.2077200161680444","2.2077200161680444","2.2077200161680444"
"5","1.5059281360771763","1.5059281360771763","1.5059281360771763"
"6","1.4454282035001476","1.4454282035001476","1.4454282035001476"
"7","1.3668992543767615","1.3668992543767615","1.3668992543767615"
"8","2.335193540043744","2.335193540043744","2.335193540043744"
"9","3.067441261401186","3.067441261401186","3.067441261401186"
"10","2.535752149193625","2.535752149193625","2.535752149193625"
"11","2.9546863346721084","2.9546863346721084","2.9546863346721084"
"12","2.317324518910171","2.317324518910171","2.317324518910171"
"13","3.3910761435070182","3.3910761435070182","3.3910761435070182"
"14","3.594504284069003","3.594504284069003","3.594504284069003"
"15","3.082488932222903","3.082488932222903","3.082488932222903"
"16","2.404845939838757","2.404845939838757","2.404845939838757"
"17","1.9990526107924085","1.9990526107924085","1.9990526107924085"
"18","2.7889694259820024","2.7889694259820024","2.7889694259820024"
"19","1.8650592557599663","1.8650592557599663","1.8650592557599663"
"20","2.478444549138935","2.478444549138935","2.478444549138935"
"21","1.9541493855135157","1.9541493855135157","1.9541493855135157"
"22","2.550538836442372","2.550538836442372","2.550538836442372"
"23","1.837587773007884","1.837587773007884","1.837587773007884"
"24","1.903793613765934","1.903793613765934","1.903793613765934"
"25","1.9496373983142383","1.9496373983142383","1.9496373983142383"
"26","3.430371708873096","3.430371708873096","3.430371708873096"
"27","2.2802984528012136","2.2802984528012136","2.2802984528012136"
"28","2.3715014295217567","2.3715014295217567","2.3715014295217567"
"29","2.2992807876207673","2.2992807876207673","2.2992807876207673"
"30","2.762364272558777","2.762364272558777","2.762364272558777"
"31","2.9092533868314066","2.9092533868314066","2.9092533868314066"
"32","2.506689856618181","2.506689856618181","2.506689856618181"
"33","2.730262430402448","2.730262430402448","2.730262430402448"
"34","1.618468073182487","1.618468073182487","1.618468073182487"
"35","2.287550542895993","2.287550542895993","2.287550542895993"
"36","2.1157797769282474","2.1157797769282474","2.1157797769282474"
"37","2.0466634530519947","2.0466634530519947","2.0466634530519947"
"38","2.218638336947669","2.218638336947669","2.218638336947669"
"39","2.450151694014057","2.450151694014057","2.450151694014057"
"40","2.2078403324690417","2.2078403324690417","2.2078403324690417"
"41","4.089020438729515","4.089020438729515","4.089020438729515"
"42","2.5052694524878865","2.5052694524878865","2.5052694524878865"
"43","1.7618681352388743","1.7618681352388743","1.7618681352388743"
"44","2.798909055367317","2.798909055367317","2.798909055367317"
"45","1.768831640086214","1.768831640086214","1.768831640086214"
"46","2.6715544344575473","2.6715544344575473","2.6715544344575473"
"47","2.543798711379768","2.543798711379768","2.543798711379768"
"48","2.5950332100698943","2.5950332100698943","2.5950332100698943"
"49","3.105404415192053","3.105404415192053","3.105404415192053"
"50","2.0441432414247327","2.0441432414247327","2.0441432414247327"
"51","2.488535932792019","2.488535932792019","2.488535932792019"
"52","2.1935417019106156","2.1935417019106156","2.1935417019106156"
"53","2.4212727727363172","2.4212727727363172","2.4212727727363172"
"54","2.237711959167117","2.237711959167117","2.237711959167117"
"55","2.611000858613277","2.611000858613277","2.611000858613277"
"56","2.379172813082167","2.379172813082167","2.379172813082167"
"57","2.3962437151848537","2.3962437151848537","2.3962437151848537"
"58","2.511776620354264","2.511776620354264","2.511776620354264"
"59","2.5571798836710125","2.5571798836710125","2.5571798836710125"
"60","3.0411658715130145","3.0411658715130145","3.0411658715130145"
"61","2.1589836214669673","2.1589836214669673","2.1589836214669673"
"62","2.7186443457141656","2.7186443457141656","2.7186443457141656"
"63","2.0895777495446697","2.0895777495446697","2.0895777495446697"
"64","2.274236083474225","2.274236083474225","2.274236083474225"
"65","2.333659433227004","2.333659433227004","2.333659433227004"
"66","3.2244563468050575","3.2244563468050575","3.2244563468050575"
"67","2.025521959227068","2.025521959227068","2.025521959227068"
"68","2.577271270610966","2.577271270610966","2.577271270610966"
"69","2.287725916226129","2.287725916226129","2.287725916226129"
"70","2.7262734583942003","2.7262734583942003","2.7262734583942003"
