"Step","vit_gnorm_ldecay - train_inner/gnorm","vit_gnorm_ldecay - train_inner/gnorm__MIN","vit_gnorm_ldecay - train_inner/gnorm__MAX"
"1","0.41483462589264775","0.41483462589264775","0.41483462589264775"
"11","0.1974703096192361","0.1974703096192361","0.1974703096192361"
"21","0.17914407218015388","0.17914407218015388","0.17914407218015388"
"31","0.16136061859731995","0.16136061859731995","0.16136061859731995"
"41","0.1445616865295916","0.1445616865295916","0.1445616865295916"
"51","0.1292007488385495","0.1292007488385495","0.1292007488385495"
"61","0.11544844950183938","0.11544844950183938","0.11544844950183938"
"71","0.10333049445419104","0.10333049445419104","0.10333049445419104"
"81","0.09275204667189872","0.09275204667189872","0.09275204667189872"
"91","0.08356748008967199","0.08356748008967199","0.08356748008967199"
"101","0.07560496827425014","0.07560496827425014","0.07560496827425014"
"111","0.06869145603728283","0.06869145603728283","0.06869145603728283"
"121","0.06268170074925992","0.06268170074925992","0.06268170074925992"
"131","0.05743354734206193","0.05743354734206193","0.05743354734206193"
"141","0.05282927855364932","0.05282927855364932","0.05282927855364932"
"151","0.04877755149840056","0.04877755149840056","0.04877755149840056"
"161","0.04518980825502936","0.04518980825502936","0.04518980825502936"
"171","0.042002924226629525","0.042002924226629525","0.042002924226629525"
"181","0.0391580153300209","0.0391580153300209","0.0391580153300209"
"191","0.03660746508042477","0.03660746508042477","0.03660746508042477"
"201","0.03431274680021607","0.03431274680021607","0.03431274680021607"
"211","0.03223938350905839","0.03223938350905839","0.03223938350905839"
"221","0.03035672787941998","0.03035672787941998","0.03035672787941998"
"231","0.028645331890116168","0.028645331890116168","0.028645331890116168"
"241","0.02708470211034578","0.02708470211034578","0.02708470211034578"
"251","0.02565483302525377","0.02565483302525377","0.02565483302525377"
"261","0.024342568761347053","0.024342568761347053","0.024342568761347053"
"271","0.023136807859676985","0.023136807859676985","0.023136807859676985"
"281","0.022019528131775667","0.022019528131775667","0.022019528131775667"
"291","0.02098795317432364","0.02098795317432364","0.02098795317432364"
"301","0.020030679517370423","0.020030679517370423","0.020030679517370423"
"311","0.01914084339980717","0.01914084339980717","0.01914084339980717"
"312","0.019056995611552205","0.019056995611552205","0.019056995611552205"
"313","0.018971170312973323","0.018971170312973323","0.018971170312973323"
"323","0.016318512582751375","0.016318512582751375","0.016318512582751375"
"333","0.014195300844700968","0.014195300844700968","0.014195300844700968"
"343","0.0125133811465433","0.0125133811465433","0.0125133811465433"
"353","0.01116630265012297","0.01116630265012297","0.01116630265012297"
"363","0.010068861954009946","0.010068861954009946","0.010068861954009946"
"373","0.009154468737830155","0.009154468737830155","0.009154468737830155"
"383","0.008382714286620617","0.008382714286620617","0.008382714286620617"
"393","0.007723207896593795","0.007723207896593795","0.007723207896593795"
"403","0.007153170515095825","0.007153170515095825","0.007153170515095825"
"413","0.006650551153660113","0.006650551153660113","0.006650551153660113"
"423","0.00620868054863992","0.00620868054863992","0.00620868054863992"
"433","0.005815153325566988","0.005815153325566988","0.005815153325566988"
"443","0.005463329797588578","0.005463329797588578","0.005463329797588578"
