"Step","baseline_roberta - train_inner/gnorm","baseline_roberta - train_inner/gnorm__MIN","baseline_roberta - train_inner/gnorm__MAX"
"1","3.679","3.679","3.679"
"2","3.699","3.699","3.699"
"3","3.711","3.711","3.711"
"4","3.682","3.682","3.682"
"5","3.724","3.724","3.724"
"6","3.665","3.665","3.665"
"7","3.688","3.688","3.688"
"8","3.71","3.71","3.71"
"9","3.706","3.706","3.706"
"10","3.661","3.661","3.661"
"11","3.683","3.683","3.683"
"12","3.686","3.686","3.686"
"13","3.699","3.699","3.699"
"14","3.672","3.672","3.672"
"15","3.654","3.654","3.654"
"16","3.633","3.633","3.633"
"17","3.601","3.601","3.601"
"18","3.582","3.582","3.582"
"19","3.591","3.591","3.591"
"20","3.5","3.5","3.5"
"21","3.456","3.456","3.456"
"22","3.398","3.398","3.398"
"23","3.368","3.368","3.368"
"24","3.279","3.279","3.279"
"25","3.226","3.226","3.226"
"26","3.209","3.209","3.209"
"27","3.187","3.187","3.187"
"28","3.148","3.148","3.148"
"29","3.142","3.142","3.142"
"30","3.091","3.091","3.091"
"31","3.038","3.038","3.038"
"32","3.003","3.003","3.003"
"33","2.966","2.966","2.966"
"34","2.962","2.962","2.962"
"36","2.879","2.879","2.879"
"37","2.909","2.909","2.909"
"38","2.87","2.87","2.87"
"39","2.875","2.875","2.875"
"40","2.825","2.825","2.825"
"41","2.811","2.811","2.811"
"42","2.846","2.846","2.846"
"43","2.813","2.813","2.813"
"44","2.788","2.788","2.788"
"45","2.801","2.801","2.801"
"46","2.74","2.74","2.74"
"47","2.728","2.728","2.728"
"48","2.747","2.747","2.747"
"49","2.747","2.747","2.747"
"50","2.738","2.738","2.738"
"51","2.727","2.727","2.727"
"52","2.707","2.707","2.707"
"53","2.677","2.677","2.677"
"54","2.654","2.654","2.654"
"55","2.66","2.66","2.66"
"56","2.627","2.627","2.627"
"57","2.614","2.614","2.614"
"58","2.626","2.626","2.626"
"59","2.646","2.646","2.646"
"60","2.6","2.6","2.6"
"61","2.604","2.604","2.604"
"62","2.596","2.596","2.596"
"63","2.555","2.555","2.555"
"64","2.573","2.573","2.573"
"65","2.549","2.549","2.549"
"66","2.546","2.546","2.546"
