"Step","baseline_roberta - train_inner/gnorm","baseline_roberta - train_inner/gnorm__MIN","baseline_roberta - train_inner/gnorm__MAX"
"67","2.547","2.547","2.547"
"68","2.551","2.551","2.551"
"69","2.515","2.515","2.515"
"70","2.488","2.488","2.488"
"71","2.501","2.501","2.501"
"72","2.481","2.481","2.481"
"73","2.463","2.463","2.463"
"74","2.45","2.45","2.45"
"75","2.417","2.417","2.417"
"76","2.427","2.427","2.427"
"77","2.429","2.429","2.429"
"78","2.401","2.401","2.401"
"79","2.389","2.389","2.389"
"80","2.382","2.382","2.382"
"81","2.363","2.363","2.363"
"82","2.361","2.361","2.361"
"83","2.362","2.362","2.362"
"84","2.329","2.329","2.329"
"85","2.332","2.332","2.332"
"86","2.339","2.339","2.339"
"87","2.298","2.298","2.298"
"88","2.304","2.304","2.304"
"89","2.27","2.27","2.27"
"90","2.294","2.294","2.294"
"91","2.263","2.263","2.263"
"92","2.269","2.269","2.269"
"93","2.264","2.264","2.264"
"94","2.279","2.279","2.279"
"95","2.236","2.236","2.236"
"96","2.24","2.24","2.24"
"97","2.239","2.239","2.239"
"98","2.247","2.247","2.247"
"99","2.229","2.229","2.229"
"100","2.221","2.221","2.221"
"101","2.217","2.217","2.217"
"102","2.21","2.21","2.21"
"103","2.189","2.189","2.189"
"104","2.199","2.199","2.199"
"105","2.224","2.224","2.224"
"106","2.195","2.195","2.195"
"107","2.18","2.18","2.18"
"108","2.171","2.171","2.171"
"109","2.185","2.185","2.185"
"110","2.167","2.167","2.167"
"111","2.146","2.146","2.146"
"112","2.123","2.123","2.123"
"113","2.154","2.154","2.154"
"114","2.148","2.148","2.148"
"115","2.138","2.138","2.138"
"116","2.132","2.132","2.132"
"117","2.146","2.146","2.146"
"118","2.143","2.143","2.143"
"119","2.111","2.111","2.111"
"120","2.125","2.125","2.125"
"121","2.1","2.1","2.1"
"122","2.115","2.115","2.115"
"123","2.105","2.105","2.105"
"124","2.099","2.099","2.099"
"125","2.089","2.089","2.089"
"126","2.085","2.085","2.085"
"127","2.085","2.085","2.085"
"128","2.064","2.064","2.064"
"129","2.052","2.052","2.052"
"130","2.052","2.052","2.052"
"131","2.054","2.054","2.054"
"132","2.05","2.05","2.05"
"133","2.051","2.051","2.051"
"134","2.033","2.033","2.033"
"135","2.016","2.016","2.016"
"136","1.999","1.999","1.999"
"137","2.007","2.007","2.007"
"138","2.002","2.002","2.002"
"139","1.995","1.995","1.995"
"140","1.989","1.989","1.989"
"141","1.993","1.993","1.993"
"142","1.977","1.977","1.977"
"143","1.974","1.974","1.974"
"144","1.95","1.95","1.95"
"145","1.965","1.965","1.965"
"146","1.947","1.947","1.947"
"147","1.951","1.951","1.951"
"148","1.935","1.935","1.935"
"149","1.936","1.936","1.936"
"150","1.91","1.91","1.91"
"151","1.897","1.897","1.897"
"152","1.895","1.895","1.895"
"153","1.895","1.895","1.895"
"154","1.866","1.866","1.866"
"155","1.87","1.87","1.87"
"156","1.864","1.864","1.864"
"157","1.85","1.85","1.85"
"158","1.849","1.849","1.849"
"159","1.828","1.828","1.828"
"160","1.807","1.807","1.807"
"161","1.835","1.835","1.835"
"162","1.815","1.815","1.815"
"163","1.81","1.81","1.81"
"164","1.791","1.791","1.791"
"165","1.784","1.784","1.784"
"166","1.755","1.755","1.755"
"167","1.759","1.759","1.759"
"168","1.746","1.746","1.746"
"169","1.76","1.76","1.76"
"170","1.733","1.733","1.733"
"171","1.708","1.708","1.708"
"172","1.721","1.721","1.721"
"173","1.702","1.702","1.702"
"174","1.699","1.699","1.699"
"175","1.715","1.715","1.715"
"176","1.692","1.692","1.692"
"177","1.646","1.646","1.646"
"178","1.668","1.668","1.668"
"179","1.637","1.637","1.637"
"180","1.644","1.644","1.644"
"181","1.621","1.621","1.621"
"182","1.617","1.617","1.617"
"183","1.611","1.611","1.611"
"184","1.619","1.619","1.619"
"185","1.604","1.604","1.604"
"186","1.577","1.577","1.577"
"187","1.565","1.565","1.565"
"188","1.581","1.581","1.581"
"189","1.576","1.576","1.576"
"190","1.556","1.556","1.556"
"191","1.53","1.53","1.53"
"192","1.566","1.566","1.566"
"193","1.515","1.515","1.515"
"194","1.528","1.528","1.528"
"195","1.544","1.544","1.544"
"196","1.488","1.488","1.488"
"197","1.477","1.477","1.477"
"198","1.469","1.469","1.469"
"199","1.483","1.483","1.483"
"200","1.438","1.438","1.438"
"201","1.459","1.459","1.459"
"202","1.439","1.439","1.439"
"203","1.443","1.443","1.443"
"204","1.437","1.437","1.437"
"205","1.411","1.411","1.411"
"206","1.389","1.389","1.389"
"207","1.401","1.401","1.401"
"208","1.408","1.408","1.408"
"209","1.365","1.365","1.365"
"210","1.357","1.357","1.357"
"211","1.362","1.362","1.362"
"212","1.359","1.359","1.359"
"213","1.328","1.328","1.328"
"214","1.325","1.325","1.325"
"215","1.31","1.31","1.31"
"216","1.305","1.305","1.305"
"217","1.292","1.292","1.292"
"218","1.279","1.279","1.279"
"219","1.267","1.267","1.267"
"220","1.268","1.268","1.268"
"221","1.225","1.225","1.225"
"222","1.235","1.235","1.235"
"223","1.219","1.219","1.219"
"224","1.229","1.229","1.229"
"225","1.275","1.275","1.275"
"226","1.19","1.19","1.19"
"227","1.181","1.181","1.181"
"228","1.212","1.212","1.212"
"229","1.162","1.162","1.162"
"230","1.144","1.144","1.144"
"231","1.172","1.172","1.172"
"232","1.127","1.127","1.127"
"233","1.131","1.131","1.131"
"234","1.097","1.097","1.097"
"235","1.101","1.101","1.101"
"236","1.082","1.082","1.082"
"237","1.063","1.063","1.063"
"238","1.1","1.1","1.1"
"239","1.076","1.076","1.076"
"240","1.034","1.034","1.034"
"241","1.048","1.048","1.048"
"242","1.093","1.093","1.093"
"243","1.025","1.025","1.025"
"244","0.997","0.997","0.997"
"245","1.015","1.015","1.015"
"246","1.026","1.026","1.026"
"247","0.986","0.986","0.986"
"248","1.026","1.026","1.026"
"249","1.104","1.104","1.104"
"250","1.041","1.041","1.041"
"251","0.94","0.94","0.94"
"252","0.937","0.937","0.937"
"253","0.95","0.95","0.95"
"254","0.906","0.906","0.906"
"255","0.901","0.901","0.901"
"256","0.888","0.888","0.888"
"257","0.913","0.913","0.913"
"258","0.867","0.867","0.867"
"259","0.86","0.86","0.86"
"260","0.854","0.854","0.854"
"261","0.858","0.858","0.858"
"262","0.856","0.856","0.856"
"263","0.898","0.898","0.898"
"264","0.863","0.863","0.863"
"265","0.82","0.82","0.82"
"266","0.817","0.817","0.817"
"267","0.8","0.8","0.8"
"268","0.789","0.789","0.789"
"269","0.776","0.776","0.776"
"270","0.788","0.788","0.788"
"271","0.777","0.777","0.777"
"272","0.778","0.778","0.778"
"273","0.777","0.777","0.777"
"274","0.758","0.758","0.758"
"275","0.723","0.723","0.723"
"276","0.734","0.734","0.734"
"277","0.828","0.828","0.828"
"278","0.967","0.967","0.967"
"279","1.038","1.038","1.038"
"280","0.865","0.865","0.865"
"281","0.712","0.712","0.712"
"282","0.936","0.936","0.936"
"283","0.961","0.961","0.961"
"284","0.754","0.754","0.754"
"285","0.83","0.83","0.83"
"286","0.829","0.829","0.829"
"287","0.782","0.782","0.782"
"288","0.76","0.76","0.76"
"289","0.696","0.696","0.696"
"290","0.727","0.727","0.727"
"291","0.658","0.658","0.658"
"292","0.674","0.674","0.674"
"293","0.609","0.609","0.609"
"294","0.676","0.676","0.676"
"295","0.594","0.594","0.594"
"296","0.589","0.589","0.589"
"297","0.637","0.637","0.637"
"298","0.541","0.541","0.541"
"299","0.63","0.63","0.63"
"300","0.576","0.576","0.576"
"301","0.538","0.538","0.538"
"302","0.543","0.543","0.543"
"303","0.559","0.559","0.559"
"304","0.539","0.539","0.539"
"305","0.527","0.527","0.527"
"306","0.535","0.535","0.535"
"307","0.529","0.529","0.529"
"308","0.493","0.493","0.493"
"309","0.51","0.51","0.51"
"310","0.441","0.441","0.441"
"311","0.545","0.545","0.545"
"312","0.501","0.501","0.501"
"313","0.566","0.566","0.566"
"314","0.444","0.444","0.444"
"315","0.527","0.527","0.527"
"316","0.643","0.643","0.643"
"317","0.838","0.838","0.838"
"318","0.842","0.842","0.842"
"319","0.616","0.616","0.616"
"320","0.408","0.408","0.408"
"321","0.601","0.601","0.601"
"322","0.6","0.6","0.6"
"323","0.548","0.548","0.548"
"324","0.472","0.472","0.472"
"325","0.532","0.532","0.532"
"326","0.439","0.439","0.439"
"327","0.431","0.431","0.431"
"328","0.441","0.441","0.441"
"329","0.474","0.474","0.474"
"330","0.401","0.401","0.401"
"331","0.509","0.509","0.509"
"332","0.558","0.558","0.558"
"333","0.464","0.464","0.464"
"334","0.521","0.521","0.521"
"335","0.479","0.479","0.479"
"336","0.497","0.497","0.497"
"337","0.77","0.77","0.77"
"338","0.686","0.686","0.686"
"339","0.718","0.718","0.718"
"340","0.639","0.639","0.639"
"341","0.451","0.451","0.451"
"342","0.427","0.427","0.427"
"343","0.619","0.619","0.619"
"344","0.688","0.688","0.688"
"345","0.74","0.74","0.74"
"346","0.656","0.656","0.656"
"347","0.423","0.423","0.423"
"348","0.463","0.463","0.463"
"349","0.518","0.518","0.518"
"350","0.656","0.656","0.656"
"351","0.775","0.775","0.775"
"352","0.818","0.818","0.818"
"353","0.761","0.761","0.761"
"354","0.559","0.559","0.559"
"355","0.367","0.367","0.367"
"356","0.458","0.458","0.458"
"357","0.522","0.522","0.522"
"358","0.442","0.442","0.442"
"359","0.397","0.397","0.397"
"360","0.464","0.464","0.464"
"361","0.356","0.356","0.356"
"362","0.297","0.297","0.297"
"363","0.433","0.433","0.433"
"364","0.456","0.456","0.456"
"365","0.506","0.506","0.506"
"366","0.501","0.501","0.501"
"367","0.41","0.41","0.41"
"368","0.313","0.313","0.313"
"369","0.418","0.418","0.418"
"370","0.759","0.759","0.759"
"371","1.043","1.043","1.043"
"372","1.141","1.141","1.141"
"373","0.758","0.758","0.758"
"374","0.373","0.373","0.373"
"375","0.943","0.943","0.943"
"376","0.967","0.967","0.967"
"377","0.54","0.54","0.54"
"378","0.776","0.776","0.776"
"379","0.832","0.832","0.832"
"380","0.661","0.661","0.661"
"381","0.741","0.741","0.741"
"382","0.88","0.88","0.88"
"383","0.9","0.9","0.9"
"384","0.548","0.548","0.548"
"385","1.038","1.038","1.038"
"386","0.571","0.571","0.571"
"387","0.75","0.75","0.75"
"388","0.575","0.575","0.575"
"389","0.609","0.609","0.609"
"390","0.522","0.522","0.522"
"391","0.575","0.575","0.575"
"392","0.52","0.52","0.52"
"393","0.602","0.602","0.602"
"394","0.367","0.367","0.367"
"395","0.491","0.491","0.491"
"396","0.359","0.359","0.359"
"397","0.475","0.475","0.475"
"398","0.399","0.399","0.399"
"399","0.483","0.483","0.483"
"400","0.363","0.363","0.363"
"401","0.336","0.336","0.336"
"402","0.386","0.386","0.386"
"403","0.408","0.408","0.408"
"404","0.425","0.425","0.425"
"405","0.385","0.385","0.385"
"406","0.398","0.398","0.398"
"407","0.303","0.303","0.303"
"408","0.368","0.368","0.368"
"409","0.304","0.304","0.304"
"410","0.306","0.306","0.306"
"411","0.384","0.384","0.384"
"412","0.395","0.395","0.395"
"413","0.55","0.55","0.55"
"414","0.798","0.798","0.798"
"415","1.159","1.159","1.159"
"416","1.452","1.452","1.452"
"417","1.096","1.096","1.096"
"418","0.471","0.471","0.471"
"419","1.085","1.085","1.085"
"420","1.024","1.024","1.024"
"421","0.513","0.513","0.513"
"422","0.965","0.965","0.965"
"423","0.554","0.554","0.554"
"424","0.626","0.626","0.626"
"425","0.658","0.658","0.658"
"426","0.532","0.532","0.532"
"427","0.764","0.764","0.764"
"428","0.408","0.408","0.408"
"429","0.629","0.629","0.629"
"430","0.481","0.481","0.481"
"431","0.546","0.546","0.546"
"432","0.677","0.677","0.677"
"433","0.363","0.363","0.363"
"434","0.655","0.655","0.655"
"435","0.381","0.381","0.381"
"436","0.555","0.555","0.555"
"437","0.541","0.541","0.541"
"438","0.39","0.39","0.39"
"439","0.488","0.488","0.488"
"440","0.458","0.458","0.458"
"441","0.359","0.359","0.359"
"442","0.505","0.505","0.505"
"443","0.317","0.317","0.317"
"444","0.391","0.391","0.391"
"445","0.371","0.371","0.371"
"446","0.308","0.308","0.308"
"447","0.366","0.366","0.366"
"448","0.314","0.314","0.314"
"449","0.341","0.341","0.341"
"450","0.324","0.324","0.324"
"451","0.363","0.363","0.363"
"452","0.386","0.386","0.386"
"453","0.378","0.378","0.378"
"454","0.467","0.467","0.467"
"455","0.571","0.571","0.571"
"456","0.344","0.344","0.344"
"457","0.431","0.431","0.431"
"458","0.572","0.572","0.572"
"459","0.637","0.637","0.637"
"460","0.554","0.554","0.554"
"461","0.697","0.697","0.697"
"462","0.804","0.804","0.804"
"463","0.844","0.844","0.844"
"464","0.539","0.539","0.539"
"465","0.518","0.518","0.518"
"466","0.887","0.887","0.887"
"467","0.624","0.624","0.624"
"468","0.505","0.505","0.505"
"469","0.896","0.896","0.896"
"470","0.642","0.642","0.642"
"471","0.534","0.534","0.534"
"472","0.696","0.696","0.696"
"473","0.534","0.534","0.534"
"474","0.43","0.43","0.43"
"475","0.502","0.502","0.502"
"476","0.511","0.511","0.511"
"477","0.47","0.47","0.47"
"478","0.357","0.357","0.357"
"479","0.463","0.463","0.463"
"480","0.356","0.356","0.356"
"481","0.354","0.354","0.354"
"482","0.336","0.336","0.336"
"483","0.494","0.494","0.494"
"484","0.659","0.659","0.659"
"485","0.802","0.802","0.802"
"486","0.764","0.764","0.764"
"487","0.456","0.456","0.456"
"488","0.456","0.456","0.456"
"489","0.758","0.758","0.758"
"490","0.653","0.653","0.653"
"491","0.588","0.588","0.588"
"492","0.601","0.601","0.601"
"493","0.396","0.396","0.396"
"494","0.653","0.653","0.653"
"495","0.707","0.707","0.707"
"496","0.372","0.372","0.372"
"497","0.79","0.79","0.79"
"498","0.743","0.743","0.743"
"499","0.573","0.573","0.573"
"500","0.627","0.627","0.627"
"501","0.352","0.352","0.352"
"502","0.598","0.598","0.598"
"503","0.566","0.566","0.566"
"504","0.513","0.513","0.513"
"505","0.331","0.331","0.331"
"506","0.5","0.5","0.5"
"507","0.56","0.56","0.56"
"508","0.632","0.632","0.632"
"509","0.721","0.721","0.721"
"510","0.498","0.498","0.498"
"511","0.502","0.502","0.502"
"512","0.498","0.498","0.498"
"513","0.576","0.576","0.576"
"514","0.473","0.473","0.473"
"515","0.528","0.528","0.528"
"516","0.564","0.564","0.564"
"517","0.677","0.677","0.677"
"518","0.602","0.602","0.602"
"519","0.464","0.464","0.464"
"520","0.503","0.503","0.503"
"521","0.383","0.383","0.383"
"522","0.423","0.423","0.423"
"523","0.382","0.382","0.382"
"524","0.446","0.446","0.446"
"525","0.478","0.478","0.478"
"526","0.437","0.437","0.437"
"527","0.423","0.423","0.423"
"528","0.396","0.396","0.396"
"529","0.457","0.457","0.457"
"530","0.419","0.419","0.419"
"531","0.319","0.319","0.319"
"532","0.337","0.337","0.337"
"533","0.503","0.503","0.503"
"534","0.52","0.52","0.52"
"535","0.481","0.481","0.481"
"536","0.334","0.334","0.334"
"537","0.408","0.408","0.408"
"538","0.601","0.601","0.601"
"539","0.58","0.58","0.58"
"540","0.51","0.51","0.51"
"541","0.424","0.424","0.424"
"542","0.844","0.844","0.844"
"543","1.47","1.47","1.47"
"544","1.523","1.523","1.523"
"545","0.866","0.866","0.866"
"546","0.937","0.937","0.937"
"547","0.755","0.755","0.755"
"548","0.604","0.604","0.604"
"549","0.708","0.708","0.708"
"550","0.507","0.507","0.507"
"551","0.643","0.643","0.643"
"552","0.46","0.46","0.46"
"553","0.616","0.616","0.616"
"554","0.46","0.46","0.46"
"555","0.466","0.466","0.466"
"556","0.44","0.44","0.44"
"557","0.448","0.448","0.448"
"558","0.402","0.402","0.402"
"559","0.416","0.416","0.416"
"560","0.421","0.421","0.421"
"561","0.509","0.509","0.509"
"562","0.346","0.346","0.346"
"563","0.398","0.398","0.398"
"564","0.288","0.288","0.288"
"565","0.427","0.427","0.427"
"566","0.326","0.326","0.326"
"567","0.338","0.338","0.338"
"568","0.35","0.35","0.35"
"569","0.496","0.496","0.496"
"570","0.485","0.485","0.485"
"571","0.508","0.508","0.508"
"572","0.513","0.513","0.513"
"573","0.431","0.431","0.431"
"574","0.328","0.328","0.328"
"575","0.306","0.306","0.306"
"576","0.453","0.453","0.453"
"577","0.306","0.306","0.306"
"578","0.412","0.412","0.412"
"579","0.421","0.421","0.421"
"580","0.335","0.335","0.335"
"581","0.392","0.392","0.392"
"582","0.501","0.501","0.501"
"583","0.48","0.48","0.48"
"584","0.585","0.585","0.585"
"585","0.586","0.586","0.586"
"586","0.428","0.428","0.428"
"587","0.502","0.502","0.502"
"588","0.516","0.516","0.516"
"589","0.492","0.492","0.492"
"590","0.65","0.65","0.65"
"591","0.604","0.604","0.604"
"592","0.574","0.574","0.574"
"593","0.603","0.603","0.603"
"594","0.473","0.473","0.473"
"596","0.94","0.94","0.94"
"597","0.989","0.989","0.989"
"598","0.827","0.827","0.827"
"599","0.588","0.588","0.588"
"600","0.651","0.651","0.651"
"601","0.575","0.575","0.575"
"602","0.404","0.404","0.404"
"603","0.568","0.568","0.568"
"604","0.556","0.556","0.556"
"605","0.387","0.387","0.387"
"606","0.551","0.551","0.551"
"607","0.545","0.545","0.545"
"608","0.541","0.541","0.541"
"609","0.413","0.413","0.413"
"610","0.496","0.496","0.496"
"611","0.55","0.55","0.55"
"612","0.469","0.469","0.469"
"613","0.417","0.417","0.417"
"614","0.432","0.432","0.432"
"615","0.379","0.379","0.379"
"616","0.379","0.379","0.379"
"617","0.393","0.393","0.393"
"618","0.365","0.365","0.365"
"619","0.364","0.364","0.364"
"620","0.433","0.433","0.433"
"621","0.561","0.561","0.561"
"622","0.624","0.624","0.624"
"623","0.751","0.751","0.751"
"624","0.743","0.743","0.743"
"625","1.101","1.101","1.101"
"626","1.411","1.411","1.411"
"627","0.984","0.984","0.984"
"628","0.851","0.851","0.851"
"629","0.934","0.934","0.934"
"630","0.71","0.71","0.71"
"631","0.654","0.654","0.654"
"632","0.552","0.552","0.552"
"633","0.536","0.536","0.536"
"634","0.596","0.596","0.596"
"635","0.407","0.407","0.407"
"636","0.503","0.503","0.503"
"637","0.464","0.464","0.464"
"638","0.571","0.571","0.571"
"639","0.53","0.53","0.53"
"640","0.439","0.439","0.439"
"641","0.339","0.339","0.339"
"642","0.477","0.477","0.477"
"643","0.397","0.397","0.397"
"644","0.508","0.508","0.508"
"645","0.319","0.319","0.319"
"646","0.431","0.431","0.431"
"647","0.445","0.445","0.445"
"648","0.442","0.442","0.442"
"649","0.394","0.394","0.394"
"650","0.48","0.48","0.48"
"651","0.581","0.581","0.581"
"652","0.453","0.453","0.453"
"653","0.449","0.449","0.449"
"654","0.642","0.642","0.642"
"655","0.702","0.702","0.702"
"656","0.523","0.523","0.523"
"657","0.684","0.684","0.684"
"658","0.907","0.907","0.907"
"659","0.868","0.868","0.868"
"660","0.743","0.743","0.743"
"661","0.663","0.663","0.663"
"662","0.718","0.718","0.718"
"663","0.744","0.744","0.744"
"664","0.505","0.505","0.505"
"665","0.598","0.598","0.598"
"666","0.377","0.377","0.377"
"667","0.624","0.624","0.624"
"668","0.53","0.53","0.53"
"669","0.668","0.668","0.668"
"670","0.344","0.344","0.344"
"671","0.628","0.628","0.628"
"672","0.617","0.617","0.617"
"673","0.631","0.631","0.631"
"674","0.569","0.569","0.569"
"675","0.533","0.533","0.533"
"676","0.697","0.697","0.697"
"677","0.548","0.548","0.548"
"678","0.687","0.687","0.687"
"679","0.397","0.397","0.397"
"680","0.504","0.504","0.504"
"681","0.47","0.47","0.47"
"682","0.468","0.468","0.468"
"683","0.551","0.551","0.551"
"684","0.548","0.548","0.548"
"685","0.412","0.412","0.412"
"686","0.329","0.329","0.329"
"687","0.484","0.484","0.484"
"688","0.535","0.535","0.535"
"689","0.527","0.527","0.527"
"690","0.616","0.616","0.616"
"691","0.566","0.566","0.566"
"692","0.497","0.497","0.497"
"693","0.584","0.584","0.584"
"694","0.527","0.527","0.527"
"695","0.501","0.501","0.501"
"696","0.577","0.577","0.577"
"697","0.574","0.574","0.574"
"698","0.504","0.504","0.504"
"699","0.403","0.403","0.403"
"700","0.584","0.584","0.584"
"701","0.674","0.674","0.674"
"702","0.819","0.819","0.819"
"703","0.869","0.869","0.869"
"704","0.693","0.693","0.693"
"705","0.746","0.746","0.746"
"706","0.665","0.665","0.665"
"707","0.573","0.573","0.573"
"708","0.667","0.667","0.667"
"709","0.595","0.595","0.595"
"710","0.492","0.492","0.492"
"711","0.778","0.778","0.778"
"712","0.617","0.617","0.617"
"713","0.832","0.832","0.832"
"714","0.635","0.635","0.635"
"715","0.659","0.659","0.659"
"716","0.525","0.525","0.525"
"717","0.5","0.5","0.5"
"718","0.495","0.495","0.495"
"719","0.521","0.521","0.521"
"720","0.423","0.423","0.423"
"721","0.438","0.438","0.438"
"722","0.411","0.411","0.411"
"723","0.481","0.481","0.481"
"724","0.444","0.444","0.444"
"725","0.403","0.403","0.403"
"726","0.442","0.442","0.442"
"727","0.334","0.334","0.334"
"728","0.425","0.425","0.425"
"729","0.702","0.702","0.702"
"730","0.752","0.752","0.752"
"731","0.637","0.637","0.637"
"732","0.553","0.553","0.553"
"733","0.569","0.569","0.569"
"734","0.514","0.514","0.514"
"735","0.807","0.807","0.807"
"736","0.835","0.835","0.835"
"738","1.088","1.088","1.088"
"739","0.771","0.771","0.771"
"740","0.76","0.76","0.76"
"741","0.668","0.668","0.668"
"742","0.793","0.793","0.793"
"743","0.561","0.561","0.561"
"744","0.558","0.558","0.558"
"745","0.63","0.63","0.63"
"746","0.674","0.674","0.674"
"747","0.398","0.398","0.398"
"748","0.573","0.573","0.573"
"749","0.367","0.367","0.367"
"750","0.434","0.434","0.434"
"751","0.501","0.501","0.501"
"752","0.391","0.391","0.391"
"753","0.408","0.408","0.408"
"754","0.463","0.463","0.463"
"755","0.472","0.472","0.472"
"756","0.539","0.539","0.539"
"757","0.462","0.462","0.462"
"758","0.463","0.463","0.463"
"759","0.516","0.516","0.516"
"760","0.407","0.407","0.407"
"761","0.441","0.441","0.441"
"762","0.618","0.618","0.618"
"763","0.734","0.734","0.734"
"764","0.717","0.717","0.717"
"765","0.498","0.498","0.498"
"766","0.45","0.45","0.45"
"767","0.726","0.726","0.726"
"768","0.584","0.584","0.584"
"769","0.36","0.36","0.36"
"770","0.457","0.457","0.457"
"771","0.484","0.484","0.484"
"772","0.535","0.535","0.535"
"773","0.6","0.6","0.6"
"774","0.609","0.609","0.609"
"775","0.759","0.759","0.759"
"776","0.679","0.679","0.679"
"777","0.637","0.637","0.637"
"778","0.669","0.669","0.669"
"779","0.63","0.63","0.63"
"780","0.503","0.503","0.503"
"781","0.56","0.56","0.56"
"782","0.591","0.591","0.591"
"783","0.492","0.492","0.492"
"784","0.506","0.506","0.506"
"785","0.535","0.535","0.535"
"786","0.421","0.421","0.421"
"787","0.483","0.483","0.483"
"788","0.496","0.496","0.496"
"789","0.452","0.452","0.452"
"790","0.503","0.503","0.503"
"791","0.522","0.522","0.522"
"792","0.514","0.514","0.514"
"793","0.57","0.57","0.57"
"794","0.711","0.711","0.711"
"795","1.07","1.07","1.07"
"796","1.099","1.099","1.099"
"797","0.91","0.91","0.91"
"798","0.674","0.674","0.674"
"799","0.783","0.783","0.783"
"800","0.623","0.623","0.623"
"801","0.766","0.766","0.766"
"802","0.756","0.756","0.756"
"803","0.531","0.531","0.531"
"804","0.52","0.52","0.52"
"805","0.603","0.603","0.603"
"806","0.39","0.39","0.39"
"807","0.474","0.474","0.474"
"808","0.475","0.475","0.475"
"809","0.434","0.434","0.434"
"810","0.451","0.451","0.451"
"811","0.428","0.428","0.428"
"812","0.4","0.4","0.4"
"813","0.487","0.487","0.487"
"814","0.468","0.468","0.468"
"815","0.43","0.43","0.43"
"816","0.406","0.406","0.406"
"817","0.5","0.5","0.5"
"818","0.597","0.597","0.597"
"819","0.669","0.669","0.669"
"820","0.738","0.738","0.738"
"821","0.731","0.731","0.731"
"822","0.791","0.791","0.791"
"823","0.601","0.601","0.601"
"824","0.665","0.665","0.665"
"825","0.479","0.479","0.479"
"826","0.521","0.521","0.521"
"827","0.56","0.56","0.56"
"828","0.527","0.527","0.527"
"829","0.664","0.664","0.664"
"830","0.532","0.532","0.532"
"831","0.622","0.622","0.622"
"832","0.489","0.489","0.489"
"833","0.528","0.528","0.528"
"834","0.592","0.592","0.592"
"835","0.402","0.402","0.402"
"836","0.498","0.498","0.498"
"837","0.527","0.527","0.527"
"838","0.539","0.539","0.539"
"839","0.685","0.685","0.685"
"840","0.902","0.902","0.902"
"841","0.844","0.844","0.844"
"842","0.677","0.677","0.677"
"843","0.721","0.721","0.721"
"844","0.567","0.567","0.567"
"845","0.554","0.554","0.554"
"846","0.382","0.382","0.382"
"847","0.442","0.442","0.442"
"848","0.479","0.479","0.479"
"849","0.471","0.471","0.471"
"850","0.584","0.584","0.584"
"851","0.673","0.673","0.673"
"852","0.677","0.677","0.677"
"853","0.61","0.61","0.61"
"854","0.515","0.515","0.515"
"855","0.659","0.659","0.659"
"856","0.643","0.643","0.643"
"857","0.653","0.653","0.653"
"858","0.477","0.477","0.477"
"859","0.64","0.64","0.64"
"860","0.394","0.394","0.394"
"861","0.566","0.566","0.566"
"862","0.534","0.534","0.534"
"863","0.525","0.525","0.525"
"864","0.471","0.471","0.471"
"865","0.576","0.576","0.576"
"866","0.456","0.456","0.456"
"867","0.465","0.465","0.465"
"868","0.561","0.561","0.561"
"869","0.587","0.587","0.587"
